#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf J      H      Ks       Mact
 1   6.65  0.05  1.36166  0.500 3.824  4.313 10.95  0.037 0.00 14.469 14.441 14.638 14.391 14.373 14.422 14.516 13.656 13.474 13.447  1.362 
 1   6.71 -0.23  5.14199  2.777 4.254  4.333 11.70  0.037 0.89  8.969 10.722 10.379 10.770 11.072 11.344 10.498 10.958 11.055 11.099  5.142 
 1   6.71 -0.17  2.86128  1.861 4.094  4.358 12.35  0.038 0.00 12.469 13.344 13.058 13.378 13.641 13.859 13.142 13.404 13.471 13.490  2.861 
 1   6.71  0.41  0.77982 -0.712 3.664  4.643  9.35  0.030 0.71 15.641 15.890 16.879 15.839 15.473 15.259 16.835 14.101 13.496 13.396  0.780 
 1   6.71  0.43  3.94077  2.325 4.146  4.240 10.30  0.035 0.77  8.909  9.887  9.579  9.924 10.201 10.435  9.684 10.000 10.077 10.104  3.941 
 1   6.77 -0.41  0.56963 -1.115 3.636  4.799  7.80  0.021 0.00 15.358 15.627 16.661 15.574 15.197 14.981 16.638 13.817 13.178 13.066  0.570 
 1   6.77  0.09  1.31689  0.424 3.813  4.331  9.15  0.029 0.00 12.860 12.819 13.054 12.764 12.731 12.770 12.918 11.985 11.783 11.755  1.317 
 1   6.81  0.11  6.82769  3.214 4.297  4.192 14.05  0.038 0.00 10.785 12.825 12.456 12.879 13.200 13.492 12.591 13.135 13.245 13.302  6.828 
 1   6.91  0.17  2.08387  1.263 3.955  4.261  9.20  0.029 0.00 10.812 10.971 10.798 10.979 11.172 11.335 10.811 10.770 10.789 10.776  2.084 
 1   6.91  0.17  1.98882  1.185 3.940  4.259 10.10  0.034 0.00 11.907 12.022 11.881 12.023 12.197 12.352 11.879 11.767 11.774 11.758  1.989 
 1   6.91  0.29  2.34081  1.462 3.990  4.253 10.50  0.035 0.96 10.946 11.223 11.008 11.241 11.459 11.634 11.046 11.100 11.135 11.129  2.341 
 1   6.95  0.05  1.76763  1.004 3.913  4.281 10.70  0.036 0.86 12.511 12.547 12.531 12.525 12.622 12.738 12.481 12.079 12.015 11.995  1.768 
 1   6.95  0.15  1.58377  0.773 3.861  4.255  9.10  0.029 0.00 11.938 11.916 11.997 11.877 11.924 12.016 11.911 11.315 11.210 11.188  1.584 
 1   6.95  0.21  2.39076  1.497 3.997  4.253 11.50  0.037 0.00 12.527 12.869 12.640 12.890 13.116 13.294 12.687 12.772 12.812 12.808  2.391 
 1   6.97  0.17  1.67806  0.879 3.879  4.247  9.70  0.032 0.00 12.273 12.268 12.295 12.237 12.315 12.425 12.227 11.753 11.681 11.660  1.678 
 1   7.01 -0.37  1.57080  0.900 3.926  4.384 12.00  0.038 0.00 14.519 14.633 14.532 14.628 14.774 14.916 14.510 14.305 14.290 14.273  1.571 
 1   7.03 -0.21  4.52385  2.590 4.217  4.319  9.55  0.031 0.73  7.537  8.995  8.669  9.037  9.327  9.583  8.777  9.175  9.262  9.298  4.524 
 1   7.07  0.13  0.19965 -2.247 3.533  5.065  3.05  0.003 0.00 13.438 14.305 16.065 14.629 13.586 12.977 15.870 11.595 11.059 10.828  0.200 
 1   7.07  0.19  1.70437  0.905 3.883  4.242 11.45  0.037 0.00 13.959 13.960 13.979 13.930 14.014 14.126 13.914 13.459 13.392 13.371  1.704 
 1   7.07  0.21  1.25034  0.286 3.792  4.362  7.10  0.017 0.00 11.155 11.089 11.402 11.026 10.963 10.983 11.242 10.165  9.926  9.893  1.250 
 1   7.15 -0.07  1.38238  0.563 3.841  4.324 11.00  0.037 0.84 13.977 13.965 14.152 13.918 13.901 13.948 14.035 13.179 12.990 12.963  1.382 
 1   7.15  0.05  1.22208  0.273 3.796  4.382  8.90  0.028 0.00 12.987 12.944 13.234 12.886 12.826 12.846 13.081 12.031 11.793 11.761  1.222 
 1   7.15  0.05  4.06626  2.395 4.164  4.254 10.75  0.036 0.00  9.532 10.786 10.469 10.827 11.110 11.358 10.575 10.941 11.024 11.058  4.066 
 1   7.17  0.33  2.35329  1.472 3.992  4.250  9.30  0.030 0.76 10.075 10.295 10.125 10.302 10.491 10.654 10.144 10.089 10.100 10.090  2.353 
 1   7.19 -0.01  1.46765  0.661 3.852  4.298 10.15  0.034 0.87 12.817 12.802 12.952 12.758 12.762 12.823 12.846 12.076 11.915 11.890  1.468 
 1   7.19 -0.01  2.89011  1.847 4.076  4.300 11.25  0.037 0.81 10.995 11.646 11.380 11.676 11.925 12.125 11.451 11.643 11.699 11.709  2.890 
 1   7.19  0.43  0.96062 -0.281 3.723  4.540  9.60  0.032 0.91 14.552 14.570 15.238 14.483 14.292 14.211 15.063 13.213 12.785 12.718  0.961 
 1   7.23  0.13  1.11291  0.042 3.766  4.453 11.30  0.037 0.00 15.965 15.930 16.341 15.861 15.755 15.740 16.154 14.866 14.564 14.523  1.113 
 1   7.23  0.17  3.82944  2.291 4.136  4.222 14.40  0.038 0.00 13.443 14.524 14.215 14.562 14.839 15.077 14.318 14.649 14.727 14.757  3.829 
 1   7.23  0.19  0.82195 -0.606 3.678  4.616  8.85  0.027 0.00 15.136 15.255 16.079 15.174 14.911 14.776 15.985 13.693 13.150 13.070  0.822 
 1   7.23  0.47  0.88510 -0.456 3.699  4.582  8.55  0.025 0.88 13.979 14.065 14.866 13.980 13.734 13.613 14.746 12.550 12.046 11.966  0.885 
 1   7.25  0.15  1.25315  0.304 3.796  4.361  9.30  0.030 0.91 12.789 12.741 13.074 12.678 12.604 12.613 12.908 11.780 11.524 11.488  1.253 
 1   7.27 -0.07  1.06813 -0.003 3.767  4.485  9.60  0.032 0.00 14.378 14.352 14.742 14.288 14.182 14.166 14.560 13.293 12.987 12.947  1.068 
 1   7.27 -0.01  1.43576  0.620 3.844  4.299 10.25  0.035 0.00 13.471 13.459 13.587 13.416 13.432 13.501 13.488 12.769 12.625 12.602  1.436 
 1   7.27 -0.01  1.73736  0.983 3.914  4.296 10.70  0.036 0.00 13.013 13.079 13.007 13.067 13.199 13.335 12.975 12.710 12.685 12.667  1.737 
 1   7.27  0.05  1.48247  0.667 3.848  4.281  9.75  0.032 0.00 12.853 12.835 12.953 12.793 12.816 12.891 12.857 12.166 12.033 12.010  1.482 
 1   7.27  0.21  1.54515  0.715 3.848  4.250 11.90  0.038 0.88 14.393 14.358 14.524 14.309 14.312 14.376 14.410 13.630 13.476 13.449  1.545 
 1   7.29  0.15  1.63862  0.838 3.873  4.252  8.95  0.028 0.78 11.312 11.289 11.388 11.249 11.285 11.367 11.298 10.649 10.520 10.496  1.639 
 1   7.31 -0.17  0.82565 -0.501 3.707  4.629  8.75  0.027 0.00 14.772 14.817 15.449 14.744 14.541 14.448 15.267 13.441 12.979 12.915  0.826 
 1   7.31  0.09  1.44918  0.615 3.838  4.283 10.80  0.036 0.00 14.033 14.009 14.162 13.963 13.969 14.034 14.054 13.292 13.140 13.115  1.449 
 1   7.31  0.23  4.05741  2.390 4.149  4.200 14.85  0.038 0.00 13.646 14.794 14.478 14.834 15.115 15.359 14.587 14.938 15.020 15.052  4.057 
 1   7.33 -0.39  0.93219 -0.164 3.763  4.571  8.80  0.027 0.00 13.981 13.973 14.361 13.913 13.798 13.773 14.180 12.892 12.570 12.529  0.932 
 1   7.33 -0.29  1.40834  0.668 3.872  4.355 11.90  0.038 0.00 15.000 15.037 15.082 15.007 15.063 15.158 15.011 14.466 14.368 14.348  1.408 
 1   7.33 -0.15  1.09558  0.082 3.782  4.472 10.25  0.035 0.88 14.361 14.345 14.722 14.283 14.179 14.163 14.546 13.292 12.984 12.944  1.096 
 1   7.33 -0.07  0.73876 -0.759 3.667  4.680  9.10  0.029 0.00 15.768 15.932 16.792 15.858 15.570 15.413 16.725 14.305 13.720 13.634  0.739 
 1   7.33 -0.03  1.99775  1.254 3.967  4.297 11.90  0.038 0.98 12.848 13.057 12.876 13.069 13.264 13.427 12.893 12.866 12.887 12.875  1.998 
 1   7.33  0.01  0.44596 -1.521 3.585  4.893  6.45  0.013 0.88 14.430 15.012 16.446 15.139 14.401 13.959 16.379 12.680 12.097 11.931  0.446 
 1   7.33  0.29  1.41874  0.551 3.824  4.282 11.85  0.038 0.00 15.242 15.192 15.400 15.137 15.123 15.177 15.272 14.416 14.246 14.218  1.419 
 1   7.33  0.37  1.21399  0.221 3.784  4.382 11.00  0.037 0.91 14.701 14.645 15.042 14.573 14.482 14.481 14.860 13.625 13.353 13.313  1.214 
 1   7.35  0.29  0.86660 -0.500 3.693  4.592  8.45  0.025 0.91 13.923 14.025 14.831 13.944 13.690 13.562 14.720 12.491 11.966 11.887  0.867 
 1   7.37  0.35  1.56686  0.742 3.852  4.246 10.55  0.036 0.99 12.725 12.681 12.801 12.635 12.668 12.753 12.701 12.039 11.924 11.899  1.567 
 1   7.39 -0.31  0.60496 -1.047 3.639  4.768  7.65  0.020 0.00 15.036 15.299 16.319 15.244 14.874 14.663 16.302 13.500 12.858 12.751  0.605 
 1   7.39 -0.17  2.34098  1.538 4.033  4.350 14.55  0.038 0.90 14.921 15.400 15.157 15.426 15.660 15.845 15.212 15.336 15.383 15.384  2.341 
 1   7.39 -0.11  0.72063 -0.792 3.663  4.688  8.95  0.028 0.00 15.701 15.878 16.758 15.807 15.509 15.346 16.700 14.229 13.633 13.546  0.721 
 1   7.39  0.03  2.56851  1.646 4.036  4.291 10.10  0.034 0.98 10.044 10.574 10.316 10.603 10.846 11.038 10.382 10.544 10.597 10.603  2.569 
 1   7.41  0.05  0.87565 -0.445 3.706  4.594 10.00  0.034 0.00 15.883 15.929 16.588 15.851 15.647 15.553 16.412 14.540 14.078 14.012  0.876 
 1   7.41  0.13  1.07805 -0.026 3.758  4.475 10.15  0.034 0.72 14.775 14.774 15.271 14.703 14.557 14.509 15.091 13.573 13.189 13.134  1.078 
 1   7.41  0.33  2.08619  1.262 3.952  4.251  9.30  0.030 0.00 10.914 11.052 10.884 11.058 11.249 11.413 10.895 10.846 10.865 10.852  2.086 
 1   7.41  0.47  0.84661 -0.548 3.686  4.603  9.70  0.032 0.00 15.841 15.931 16.746 15.844 15.597 15.475 16.638 14.412 13.908 13.829  0.847 
 1   7.43  0.01  3.58085  2.203 4.129  4.253 14.10  0.038 0.00 13.364 14.422 14.120 14.460 14.733 14.966 14.217 14.532 14.607 14.634  3.581 
 1   7.45  0.07  0.80041 -0.631 3.677  4.628  6.35  0.013 0.00 12.698 12.808 13.615 12.730 12.470 12.336 13.521 11.255 10.707 10.628  0.800 
 1   7.45  0.11  1.75997  0.984 3.904  4.262 10.45  0.035 0.00 12.760 12.796 12.752 12.778 12.897 13.027 12.709 12.391 12.355 12.337  1.760 
 1   7.47 -0.19  4.12084  2.466 4.184  4.271 10.65  0.036 0.00  9.256 10.654 10.332 10.696 10.983 11.236 10.439 10.826 10.912 10.948  4.121 
 1   7.47 -0.01  1.06354 -0.032 3.761  4.487  8.20  0.023 0.99 12.329 12.296 12.717 12.229 12.113 12.090 12.527 11.203 10.880 10.838  1.064 
 1   7.47  0.15  1.49651  0.665 3.842  4.263  9.55  0.031 0.78 12.371 12.336 12.525 12.285 12.274 12.327 12.406 11.562 11.380 11.352  1.497 
